,fips_code,county,total_2008,total_2012,total_2016
2726,41047,Marion County,124563,115519,110804
2727,39167,Washington County,18802,28798,28992
2728,21113,Jessamine County,20214,20620,23292
2729,13169,Jones County,12438,12099,12524
2730,19059,Dickinson County,9906,10118,10247
2731,37055,Dare County,18048,17614,19009
2732,23011,Kennebec County,65986,63225,65999
2733,48243,Jeff Davis County,1236,1188,1175
2734,25027,Worcester County,363594,364093,380972
2735,48505,Zapata County,2866,3529,3134
2736,24041,Talbot County,20328,18671,18731
2737,37131,Northampton County,10618,10719,9761
2738,22079,Rapides Parish,57521,58008,56838
2739,29209,Stone County,16387,15974,16538
2740,25011,Franklin County,38529,37600,37987
2741,51685,Manassas Park City,4140,4627,5214
2742,28123,Scott County,11671,10584,9867
2743,30103,Treasure County,486,453,441
2744,20183,Smith County,2204,1983,2014
2745,26035,Clare County,14567,13492,13385
2746,31153,Sarpy County,68022,66166,77781
2747,55017,Chippewa County,30231,30914,31471
2748,39043,Erie County,41229,38262,36730
2749,19181,Warren County,24880,25875,26916
2750,16049,Idaho County,8210,7749,8223
2751,22077,Pointe Coupee Parish,12435,12147,11761
2752,19193,Woodbury County,44801,44702,42933
2753,6115,Yuba County,21401,15009,14929
2754,6059,Orange County,1153687,1021315,830206
2755,13239,Quitman County,1114,1128,1044
2756,13131,Grady County,9365,9391,9187
2757,26011,Arenac County,8128,7826,7457
2758,46047,Fall River County,3809,3511,3563
2759,29171,Putnam County,2339,2309,2342
2760,21239,Woodford County,12297,12331,13547
2761,26165,Wexford County,15704,13859,15279
2762,29201,Scott County,18026,16999,17244
2763,44001,Bristol County,25807,24563,24691
2764,49043,Summit County,16809,16616,20133
2765,13165,Jenkins County,3440,3386,3034
2766,19033,Cerro Gordo County,24140,23548,22633
2767,26091,Lenawee County,47734,44619,45895
2768,13171,Lamar County,7688,7589,7575
2769,31163,Sherman County,1572,1508,1553
2770,12097,Osceola County,100670,108647,139981
2771,53045,Mason County,28306,27897,27124
2772,38097,Traill County,4041,3841,3864
2773,24510,Baltimore City,245968,229897,208980
2774,54061,Monongalia County,33377,31140,35733
2775,17191,Wayne County,8071,7676,8256
2776,47179,Washington County,48982,48003,49411
2777,13051,Chatham County,110238,108267,106013
2778,36107,Tioga County,23131,19977,20556
2779,30083,Richland County,4516,4602,4812
2780,50017,Orange County,15179,13964,13464
2781,17161,Rock Island County,68401,64880,62971
2782,12061,Indian River County,70591,71445,79897
2783,8077,Mesa County,69631,69033,74876
2784,31149,Rock County,801,784,793
2785,54067,Nicholas County,9361,8676,9385
2786,54089,Summers County,5316,4712,4847
2787,21053,Clinton County,4172,4393,4454
2788,13055,Chattooga County,8307,7791,8246
2789,28159,Winston County,10221,9758,8771
2790,4011,Greenlee County,2913,2972,3243
2791,25013,Hampden County,197720,197827,200220
2792,21099,Hart County,6818,6621,7261
2793,5047,Franklin County,6475,6539,6698
2794,6101,Sutter County,32941,20988,19617
2795,17065,Hamilton County,4264,3935,4143
2796,40111,Okmulgee County,14918,13128,13924
2797,27119,Polk County,15334,14644,14698
2798,36035,Fulton County,21824,18040,19563
2799,48135,Ector County,35606,32408,36373
2800,47155,Sevier County,33941,33856,36180
2801,20153,Rawlins County,1549,1420,1448
2802,45023,Chester County,13981,14324,14202
2803,48139,Ellis County,53853,53756,63064
2804,26107,Mecosta County,18664,16879,17149
2805,54105,Wirt County,2324,2163,2410
2806,28135,Tallahatchie County,6943,6363,5870
2807,21073,Franklin County,24079,23337,23840
2808,27047,Freeborn County,17280,16645,15929
2809,34019,Hunterdon County,69849,62821,70582
2810,5131,Sebastian County,43212,43340,43557
2811,30033,Garfield County,727,700,715
2812,42079,Luzerne County,135175,123741,132731
2813,42061,Huntingdon County,18632,17587,19496
2814,13093,Dooly County,4160,4289,3836
2815,48199,Hardin County,20702,21293,22768
2816,19043,Clayton County,8989,9035,9098
2817,12099,Palm Beach County,590500,600341,657235
2818,46093,Meade County,11606,10811,11621
2819,20071,Greeley County,745,665,639
2820,28139,Tippah County,9725,9008,9143
2821,27115,Pine County,14383,13904,13729
2822,5005,Baxter County,19981,19339,19572
2823,1113,Russell County,18915,18871,19136
2824,51157,Rappahannock County,4405,4331,4444
2825,21187,Owen County,4751,4555,4997
2826,12041,Gilchrist County,7819,7908,8418
2827,13089,DeKalb County,322301,305299,295871
2828,18047,Franklin County,10610,10549,10990
2829,48457,Tyler County,7910,7623,7969
2830,47117,Marshall County,18789,10729,11402
2831,51029,Buckingham County,6994,7447,7284
2832,48453,Travis County,397714,384890,462511
2833,18163,Vanderburgh County,77656,72416,71957
2834,13187,Lumpkin County,11075,10878,12324
2835,38005,Benson County,2334,2148,1940
2836,20133,Neosho County,7192,6359,6151
2837,46043,Douglas County,1756,1690,1605
2838,47101,Lewis County,4834,4691,4601
2839,29227,Worth County,1174,1048,1046
2840,26045,Eaton County,57616,54707,55686
2841,21123,Larue County,6178,5764,6359
2842,5107,Phillips County,8969,7900,6894
2843,6039,Madera County,42355,32372,34263
2844,26109,Menominee County,11072,10922,10765
2845,34039,Union County,222097,202353,219385
2846,45045,Greenville County,190657,191282,211572
2847,53057,Skagit County,55886,42273,35727
2848,21027,Breckinridge County,8522,7967,8765
2849,30019,Daniels County,1073,1001,952
2850,19039,Clarke County,4443,4398,4405
2851,37191,Wayne County,49882,50988,49824
2852,8123,Weld County,105866,112695,133790
2853,18113,Noble County,16974,16244,16890
2854,21013,Bell County,9598,9482,9714
2855,4007,Gila County,22333,18477,21398
2856,31023,Butler County,3839,3818,3914
2857,30043,Jefferson County,6340,6490,6535
2858,47157,Shelby County,404180,370749,331861
2859,45015,Berkeley County,64781,61111,78919
2860,26061,Houghton County,15972,14804,15623
2861,18115,Ohio County,2918,2812,2917
2862,28097,Montgomery County,5712,4807,4162
2863,21185,Oldham County,29316,29873,32838
2864,1033,Colbert County,24843,23374,24626
2865,1103,Morgan County,50542,49198,49991
2866,50005,Caledonia County,14728,13545,12966
2867,13287,Turner County,3553,3556,3390
2868,48491,Williamson County,158403,162936,200524
2869,42023,Cameron County,2245,1967,2024
2870,1063,Greene County,5305,5328,4862
2871,42091,Montgomery County,422419,401787,427489
2872,37087,Haywood County,28067,27679,30156
2873,55071,Manitowoc County,42414,42488,39991
2874,33009,Grafton County,49602,48765,50062
2875,48013,Atascosa County,9938,12704,13605
2876,19117,Lucas County,4471,4273,4297
2877,29113,Lincoln County,23550,22649,24857
2878,40139,Texas County,6259,5762,5771
2879,31057,Dundy County,1019,981,949
2880,29109,Lawrence County,16637,15748,16674
2881,51185,Tazewell County,17061,17712,18495
2882,48235,Irion County,817,788,760
2883,39003,Allen County,50263,46458,44636
2884,51810,Virginia Beach City,201249,195823,171876
2885,13147,Hart County,10002,9501,10077
2886,39079,Jackson County,13993,12916,13239
2887,20123,Mitchell County,3203,2923,2824
2888,21221,Trigg County,6527,6740,6740
2889,31087,Hitchcock County,1379,1739,1440
2890,27083,Lyon County,12708,12334,12129
2891,42083,McKean County,15947,15014,15572
2892,21065,Estill County,5314,5184,5538
2893,51199,York County,33897,33848,34062
2894,13077,Coweta County,53549,55512,61315
2895,26155,Shiawassee County,36415,33590,34044
2896,55101,Racine County,100642,102937,93678
2897,42033,Clearfield County,33813,31894,32692
2898,19159,Ringgold County,2689,2578,2684
2899,18135,Randolph County,10808,10188,10456
2900,26139,Ottawa County,136268,132695,145405
2901,38049,McHenry County,2416,2653,2687
2902,26161,Washtenaw County,187115,179016,187201
2903,9011,New London County,124874,114043,124527
2904,31167,Stanton County,2495,2623,2748
2905,48133,Eastland County,6509,6494,6935
2906,36021,Columbia County,31433,26008,27255
2907,26135,Oscoda County,4328,4027,4062
2908,49013,Duchesne County,5744,6273,6932
2909,12011,Broward County,733899,755166,822837
2910,19111,Lee County,17224,16488,15893
2911,26083,Keweenaw County,1410,1388,1429
2912,1083,Limestone County,33551,35406,39400
2913,48015,Austin County,11721,11628,12255
2914,31017,Brown County,1567,1545,1579
2915,53041,Lewis County,34705,26348,19321
2916,46067,Hutchinson County,3608,3425,3365
2917,5101,Newton County,3960,3661,3731
2918,42031,Clarion County,17766,15227,17481
2919,40125,Pottawatomie County,25663,23422,25417
2920,26015,Barry County,30565,28483,30265
2921,27095,Mille Lacs County,13544,13047,12948
2922,19079,Hamilton County,8078,7872,7589
2923,29027,Callaway County,19321,18228,19127
2924,46083,Lincoln County,20767,21952,25231
2925,35007,Colfax County,6384,5896,5271
2926,8037,Eagle County,21652,22374,22611
2927,40065,Jackson County,8983,7915,7806
2928,48507,Zavala County,3876,3653,3390
2929,32013,Humboldt County,5599,5744,6433
2930,55083,Oconto County,18968,19727,19924
2931,42025,Carbon County,26923,24232,28721
2932,8099,Prowers County,4615,4809,4978
2933,28121,Rankin County,63103,61438,61356
2934,28131,Stone County,7246,6820,6368
2935,18037,Dubois County,18565,18542,19917
2936,19157,Poweshiek County,10031,9858,9693
2937,26027,Cass County,23576,22461,23272
2938,21061,Edmonson County,5270,4664,5239
2939,40153,Woodward County,7754,7065,7573
2940,41057,Tillamook County,13297,12346,13261
2941,28019,Choctaw County,4128,3847,4020
2942,37137,Pamlico County,6712,6712,6772
2943,29003,Andrew County,8790,8306,9140
2944,45033,Dillon County,13417,13186,11696
2945,6073,San Diego County,1231047,928256,768383
2946,48161,Freestone County,7288,7562,7608
2947,18159,Tipton County,7827,7364,7510
2948,16051,Jefferson County,10441,11381,11471
2949,54011,Cabell County,34591,31744,32701
2950,12065,Jefferson County,7957,7808,7641
2951,27117,Pipestone County,4801,4637,4779
2952,37027,Caldwell County,35155,34338,35747
2953,12067,Lafayette County,3359,3399,3375
2954,39121,Noble County,6172,5755,5875
2955,37197,Yadkin County,17147,16657,17350
2956,8121,Washington County,2513,2567,2708
2957,17081,Jefferson County,17141,16303,16818
2958,13297,Walton County,36026,37570,40425
2959,16079,Shoshone County,5666,5148,5120
2960,27017,Carlton County,18449,18356,18059
2961,42041,Cumberland County,113304,109964,115068
2962,29125,Maries County,4548,4538,4498
2963,20107,Linn County,4617,4294,4279
2964,26051,Gladwin County,13241,12552,12472
2965,31125,Nance County,1707,1604,1599
2966,13219,Oconee County,17132,16643,19030
2967,39053,Gallia County,13318,9534,12588
2968,39045,Fairfield County,71945,70079,70542
2969,24035,Queen Anne's County,24045,23153,24633
2970,56005,Campbell County,16320,17477,17935
2971,51177,Spotsylvania County,54069,57797,62083
2972,51023,Botetourt County,17406,18208,18641
2973,37155,Robeson County,40834,41380,39454
2974,21199,Pulaski County,25766,26003,28015
2975,51043,Clarke County,7431,7731,8131
2976,18125,Pike County,6028,5924,5977
2977,13079,Crawford County,5240,5123,5157
2978,27059,Isanti County,20053,20131,20875
2979,1001,Autauga County,23641,23909,24661
2980,19085,Harrison County,7578,7282,7378
2981,55047,Green Lake County,9536,9657,9315
2982,39113,Montgomery County,278511,254266,249560
2983,29197,Schuyler County,1983,1939,1933
2984,8021,Conejos County,3874,4027,3970
2985,20005,Atchison County,7191,6499,6393
2986,8119,Teller County,12906,12144,14203
2987,48383,Reagan County,994,843,900
2988,48403,Sabine County,4874,4572,4642
2989,24037,Saint Mary's County,44409,44076,45169
2990,27129,Renville County,8135,7684,7563
2991,17157,Randolph County,15202,14380,14032
2992,21133,Letcher County,8235,8758,9131
2993,55077,Marquette County,7846,7944,7813
2994,26099,Macomb County,419216,403388,418773
2995,30037,Golden Valley County,491,479,468
2996,27109,Olmsted County,76470,77951,79277
2997,40035,Craig County,5931,5298,5778
2998,33017,Strafford County,63549,63762,67900
2999,6047,Merced County,63808,50538,42523
3000,29011,Barton County,5948,5746,5932
3001,28067,Jones County,29273,30038,28250
3002,26075,Jackson County,74503,69323,69567
3003,13279,Toombs County,9688,9333,9108
3004,19003,Adams County,2206,2158,2082
3005,6029,Kern County,232850,168116,168734
3006,13083,Dade County,6408,5997,6238
3007,35039,Rio Arriba County,16940,15239,14767
3008,22099,Saint Martin Parish,24252,25430,25749
3009,16009,Benewah County,4164,3884,4192
3010,56003,Big Horn County,5310,5262,5079
3011,6067,Sacramento County,541101,388090,373433
3012,40003,Alfalfa County,2434,1817,2256
3013,1091,Marengo County,11471,11509,10948
3014,28059,Jackson County,54296,49290,45465
3015,29121,Macon County,7474,7159,7579
3016,48413,Schleicher County,1304,1010,1054
3017,38021,Dickey County,2620,2513,2372
3018,40101,Muskogee County,26583,23335,24193
3019,36003,Allegany County,18406,15601,17111
3020,1111,Randolph County,10384,10391,10130
3021,19167,Sioux County,16664,17181,17989
3022,31049,Deuel County,993,1012,977
3023,42069,Lackawanna County,107876,97116,102740
3024,19119,Lyon County,6217,6466,6336
3025,42093,Montour County,8023,7787,8535
3026,48449,Titus County,9245,8790,9176
3027,25021,Norfolk County,344916,350195,357781
3028,54035,Jackson County,12225,11465,12108
3029,47035,Cumberland County,25712,25244,26298
3030,48347,Nacogdoches County,23391,20601,22430
3031,13299,Ware County,12416,11923,12150
3032,8087,Morgan County,10234,10478,11888
3033,39081,Jefferson County,35939,32327,31346
3034,48375,Potter County,30013,26418,28330
3035,46123,Tripp County,2839,2691,2630
3036,31171,Thomas County,390,408,387
3037,54015,Clay County,3265,2989,2958
3038,47167,Tipton County,25316,23682,23372
3039,47011,Bradley County,38191,35956,38392
3040,39131,Pike County,12506,11233,11513
3041,48215,Hidalgo County,130784,138966,172990
3042,36047,Kings County,759848,618035,746295
3043,6045,Mendocino County,40016,17928,11435
3044,21189,Owsley County,1686,1580,1757
3045,22049,Jackson Parish,7736,7529,7464
3046,27121,Pope County,6536,6224,6294
3047,48353,Nolan County,5063,4567,4744
3048,13249,Schley County,1738,1748,1909
3049,5125,Saline County,44653,47059,51971
3050,46111,Sanborn County,1207,1115,1123
3051,31071,Garfield County,1030,928,968
3052,29217,Vernon County,8878,8519,8576
3053,6093,Siskiyou County,21470,17505,14639
